"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "TypeScript JSX", "Diff", "JSON", "TypeScript", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\app\project\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 959, 0, 0, 0, 0, 42, 49, 1050
"c:\Users\codye\forge\app\providers\AuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\codye\forge\app\purchase\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 582, 0, 0, 0, 0, 13, 34, 629
"c:\Users\codye\forge\app\quote\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1160, 0, 0, 0, 0, 77, 108, 1345
"c:\Users\codye\forge\app\quote\page_old.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 726, 0, 0, 0, 0, 20, 81, 827
"c:\Users\codye\forge\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 9, 24, 310
"c:\Users\codye\forge\app\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 5, 23, 242
"c:\Users\codye\forge\app\settings\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 3, 24, 252
"c:\Users\codye\forge\app\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 925, 0, 0, 0, 0, 26, 47, 998
"c:\Users\codye\forge\app\share\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 337, 0, 0, 0, 0, 17, 28, 382
"c:\Users\codye\forge\app\storefront\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 434, 0, 0, 0, 0, 0, 23, 457
"c:\Users\codye\forge\app\subscription\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 381, 0, 0, 0, 0, 6, 28, 415
"c:\Users\codye\forge\app\subscription\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 2, 16, 159
"c:\Users\codye\forge\app\support\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 8, 11, 210
"c:\Users\codye\forge\app\transfer-requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\codye\forge\app\upload\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 889, 0, 0, 0, 0, 47, 80, 1016
"c:\Users\codye\forge\app\verify-email\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 2, 16, 142
"c:\Users\codye\forge\backend\lib\activity-logger.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 34, 14, 129
"c:\Users\codye\forge\backend\lib\auth.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 81
"c:\Users\codye\forge\backend\lib\cad-formats.js", "JavaScript", 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 54, 25, 330
"c:\Users\codye\forge\backend\lib\db.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 82
"c:\Users\codye\forge\backend\lib\email-templates.js", "JavaScript", 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 276
"c:\Users\codye\forge\backend\lib\email-verification.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 14, 18, 99
"c:\Users\codye\forge\backend\lib\email.js", "JavaScript", 0, 384, 0, 0, 0, 0, 0, 0, 0, 0, 49, 36, 469
"c:\Users\codye\forge\backend\lib\file-metadata-utils.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 24, 16, 130
"c:\Users\codye\forge\backend\lib\folder-utils.js", "JavaScript", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 69, 45, 293
"c:\Users\codye\forge\backend\lib\generateThumbnail.js", "JavaScript", 0, 390, 0, 0, 0, 0, 0, 0, 0, 0, 85, 75, 550
"c:\Users\codye\forge\backend\lib\generateThumbnailR2.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 25, 22, 165
"c:\Users\codye\forge\backend\lib\generateThumbnailSimple.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 19, 18, 109
"c:\Users\codye\forge\backend\lib\print-cost-config.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 202
