"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "XML", "JSON", "MS SQL", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\codye\forge\README.md", "Markdown", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 24, 75
"c:\Users\codye\forge\RECOVERY_SYSTEM_SETUP.md", "Markdown", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 45, 209
"c:\Users\codye\forge\RENAME_MOVE_COMPLETE.md", "Markdown", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 32, 163
"c:\Users\codye\forge\SCALING_FEATURE.md", "Markdown", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 32, 179
"c:\Users\codye\forge\SEPARATION_OF_CONCERNS.md", "Markdown", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 25, 140
"c:\Users\codye\forge\SETUP-TYPESCRIPT.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 12, 49
"c:\Users\codye\forge\SETUP.md", "Markdown", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 31, 152
"c:\Users\codye\forge\START_HERE.md", "Markdown", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 37, 156
"c:\Users\codye\forge\app\api\cad\files\feature-tree\route.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 5, 25, 152
"c:\Users\codye\forge\app\auth\callback\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 78, 0, 6, 11, 95
"c:\Users\codye\forge\app\cad-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 465, 0, 32, 54, 551
"c:\Users\codye\forge\app\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 407, 0, 5, 47, 459
"c:\Users\codye\forge\app\checkout\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 124, 0, 5, 14, 143
"c:\Users\codye\forge\app\components\CheckoutModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 148, 0, 3, 26, 177
"c:\Users\codye\forge\app\components\FolderBreadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 124, 0, 1, 14, 139
"c:\Users\codye\forge\app\components\FolderTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 190, 0, 4, 30, 224
