"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "JSON", "Diff", "TypeScript", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\backend\api\dashboard\activity.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 147
"c:\Users\codye\forge\backend\api\dashboard\stats.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 98
"c:\Users\codye\forge\backend\api\dashboard\storage.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 109
"c:\Users\codye\forge\backend\api\dashboard\trending.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 53
"c:\Users\codye\forge\backend\api\files\[file].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 29, 31, 188
"c:\Users\codye\forge\backend\api\folders\[id]\activity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\codye\forge\backend\api\folders\[id]\breadcrumb.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\codye\forge\backend\api\folders\[id]\comments.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 2, 12, 92
"c:\Users\codye\forge\backend\api\folders\[id]\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 4, 21, 138
"c:\Users\codye\forge\backend\api\folders\[id]\members.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 5, 18, 114
"c:\Users\codye\forge\backend\api\folders\[id]\members\[memberId].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 4, 18, 98
"c:\Users\codye\forge\backend\api\folders\[id]\members\[memberId]\role.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 18, 33, 167
"c:\Users\codye\forge\backend\api\folders\[id]\move-folder.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 11, 24, 156
"c:\Users\codye\forge\backend\api\folders\[id]\rename.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 7, 19, 106
"c:\Users\codye\forge\backend\api\folders\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 3, 18, 111
"c:\Users\codye\forge\backend\api\folders\move.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 7, 42
"c:\Users\codye\forge\backend\api\folders\tree.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\codye\forge\backend\api\forum\[id].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 8, 25, 121
"c:\Users\codye\forge\backend\api\forum\stats.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 65
"c:\Users\codye\forge\backend\api\forum\threads.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 4, 17, 92
"c:\Users\codye\forge\backend\api\invitations\[id].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 3, 12, 79
"c:\Users\codye\forge\backend\api\invitations\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\codye\forge\backend\api\issues\[id]\update.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 116
"c:\Users\codye\forge\backend\api\issues\list.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26, 162
"c:\Users\codye\forge\backend\api\issues\submit.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 135
"c:\Users\codye\forge\backend\api\licenses\types.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 43
"c:\Users\codye\forge\backend\api\manufacturing-orders\create.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 121
"c:\Users\codye\forge\backend\api\messages.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 9, 21, 129
