"filename", "language", "JavaScript", "TypeScript JSX", "TypeScript", "JSON with Comments", "MS SQL", "JSON", "Markdown", "XML", "PostCSS", "Diff", "comment", "blank", "total"
"/Users/user/Documents/BlueprintCAD/backend/api/dashboard/activity.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 147
"/Users/user/Documents/BlueprintCAD/backend/api/dashboard/stats.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 98
"/Users/user/Documents/BlueprintCAD/backend/api/dashboard/storage.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 115
"/Users/user/Documents/BlueprintCAD/backend/api/dashboard/trending.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 53
"/Users/user/Documents/BlueprintCAD/backend/api/files/[file].ts", "TypeScript", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 29, 31, 188
"/Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/activity.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/breadcrumb.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/comments.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 2, 12, 92
"/Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/index.ts", "TypeScript", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 4, 21, 138
"/Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/members.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 5, 18, 114
"/Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/members/[memberId].ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 4, 18, 98
